tweet_id,hashtags
mar -2020,";lassopresidente2021;pactassobanquerovida
;lassomiente;lassoesmoreno;vacunadosgold;vacunadosgold"
dic -2019,;andresnomientrasotravez;;;pichinchauniver;andresnomientrasotravez
oct -2019,";lassopresidente;lassopresidente;lassopresidente
;todosconlasso"
oct -2019,s;zapatitoa
ene -2020,";santaelena;ecuador;santaelena
cc"
jun -2020,pais;;;niunvotoaladerecha
jul -2020,;feriadobancario;feriadodevacunas;;;mayedinm;lassoesmoreno;vacunadosgold;;contigocontodosahora;coecantonal;covid19
jun -2020,;correiismo;yakuperez;venezuela;dios
mar -2021,;arauzesmoreno;lassoesmoreno;elecuadordelencuentro
oct -2020,;respetenlavozdelpueblo;;;ecdimitri
jul -2020,;lassoesmoreno;arauzescorrea;reddetuiterosconlasso
feb -2021,;elvicedelaesperanza
jul -2020,;arauzesdiscriminación;arauzescorrea;arauzesdivisión;arauzesodio;cuandoelodioestabademoda
abr -2020,";lassopresidente2021
;lassoborrero2021;;;yakuperezg;ecuador;corrupción
viva;guillermolasso;;;ecuador;corrupción
viva;guillermolasso"
abr -2021,";encontremonosendemocracia
;constituciondevida
;hernansalgadop;;;encontremonosendemocracia
;constituciondevida
;hernansalgadop;;;encontremonosendemocracia
;constituciondevida
laprovida💙

;encontremonosendemocracia
;constituciondevida
;corteconstecu;;;encontremonosendemocracia
;constituciondevida

no
;lenin;;;encontremonosendemocracia
;constituciondevida
;hernansalgadop;;;encontremonosendemocracia
;constituciondevida
;hernansalgadop;;;encontremonosendemocracia
;constituciondevida
laprovida💙

;encontremonosendemocracia
;constituciondevida
;corteconstecu;;;encontremonosendemocracia
;constituciondevida

no"
abr -2020,"alegro
;arauzpresidente2021;;;ecuarauz;prensabasura;;;teleamazonasec;prensabasura;;;laposta;ecu;vacunadosgold;;;laposta;ecu;vacunadosgold;;;amintabuenanio;lassoesmoreno;lassoesmoreno;lassoesmoreno"
mar -2021,💙💪🇪🇨;;;todosconlasso
dic -2020,;unasolavuelta
mar -2020,;lassoesmoreno;vacunadosgold;lassoesmoreno
abr -2020,"ecuador
;estamosconyacu
;concluyaku
;transparenciacne"
abr -2020,;anamer;anamer;medicosnovacunados;medicinarural;lasso;msp;presidenciaecuador;;;eluniversocom
may -2020,;prensabasura;estandesesperados
sept -2020,"canarias
;fijezayaesconstitucional"
feb -2021,";debate

;cresatelital
;tusojosenlanoticia;;redruralguayas;lassoesmoreno;elecuadordelencuentrocameo
;wonderwoman;ww84"
feb -2021,"confinamiento
;noalconfinamiento;nomascuarentena;nomastoquedequeda;;;andres;btos;nomascuarentena;nomastoquedequeda;libertad;nomascuarentena;noaltoquedequeda;libertad;nomascuarentena;noaltoquedequeda;libertad"
may -2021,";elecuadordelencuentrooro
;francoconlasso;francoconlasso"
abr -2020,"puntuales;;;banqueroladron;vacunadosgold;duranbraba;vacunadosgold;lassoesmoreno;;;mariemolia;lordmontajes;vacunadosgoldenfermos
;lassoesmoreno;vacunadosgold;lassoesmoreno;;;camilaaae;lassoesmoreno;vacunadosgold;vacunadosgold;lassoesmoreno;vacunagateec;vacunadosgold;lassonuncaserapresidente;lassoesmoreno;lassoyaestavacunado🤦🏻‍♀️🤦🏻‍♀️
;prensamercenaria;;;mashirafael;vacunadosgold;lassoesmoreno
;vacunadosgold;vacunadosgold;;;julitparedes;elecciones2021;vacunadosgold;vacunadosgold;vacunadosgold;lassoesmorenolargo
;niunvotoaladerecha"
ago -2020,;arauznomientasotravez
ene -2021,;reddetuiterosdemocraticos;;;monipalaciosz
oct -2019,"puntos
;lassoesmoreno;;públicos
;lassonuncaserapresidente"
dic -2019,;vacunadosgold;lassoesmoreno
dic -2020,;feriadobancario;diainternacionaldelamujer;felizdiadelamujer;feriadobancario
mar -2020,;contigocontodosahora;;;augustotandazo
mar -2020,";feriadobancario
el;arauz;feriadobancario;feriadobancario;feriadobancario;feriadobancario;feriadobancario;arauz
😏😏😏😏😏;;encuentros;arauz;pauta;arauz;arauz
hoy;arauz;nuncaserapresidente;nuncaseraspresidente;;;carlosverareal;arauz;lassomiente;vacunadosgold;lassoesmorenodesagradecido;;;atención;
sorpresivo;arauz;feriadobancariovacunado
😏😏😏😏😏😏
;lassomienteunayotravez;;;ecuarauz;andreses;arauz;arauz
😊😊😊😊
;andreses
;andresganasteotravez
;lassomienteunayotravez
;lassonuncaserapresidente;arauz;sodalicio;sodalicio
esto;lassies;arauz
😏😏😏😏😏;;;lassies;arauz
😏😏😏😏😏;;reflechuchadetumadre
;bobohijueputa
;elpautas;;;unmartiniporfa1;lassies"
jun -2020,;vacunadosgold;;;dejemosm
abr -2020,;coip;coip
nov -2019,;vacunagateec;vacunadosgold;lassoesmoreno;arauznomientasotravez
ago -2020,;lassopresidente2021;;nadiepreocupa;;;lasso
mar -2020,";odiarte;rankingradiodisney;rankingrd;;;mundopatycantu;odiarte;rankingradiodisney;rankingrd;lassoevasor
;lassoespandora
;lassomentiroso
;lassoladronasso;;;cristinajacomeelacayos
;loscorruptossiemprefueronellos;;;compscordova;lassoespandora
;lassoesperjurio
;lassoevassor
;lassodestitucion"
sept -2021,;pandorapapers
jul -2020,;lassoesmoreno;vacunadosgold
may -2020,";arauzpresidente2021
;leninchao;;;vevb2013siguemeeeee
;arauzpresidente2021;;;nelsonrodmera🇪🇨✊🏽
;arauzpresidente2021;;;chaluisaelsasiguiendo
;arauzpresidente2021;;;bonilcaricatura
;arauzpresidente2021;;;estebanbernalbhdlgp
;lassonuncaseraspresidente
;lassoessalado;;;arauzesmoreno
;felizcumplequeridomashi
;andrespresidente
;hastalavictoriasiempre"
feb -2020,;jodedoresdeoficio;jodedoresdeoficio;lasso
dic -2020,;senescytjajajja;;;lasso;yonoloreconoco;;cuando;lasso;;no;lasso;;
